ioc_value,ioc_type,source,severity,description
ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,hash_sha256,VirusTotal,critical,WannaCry ransomware - EternalBlue exploit payload
be22645c61949ad6a077373a7d6cd85e3fae44315632f161adc4c99d5a8e6844,hash_sha256,VirusTotal,critical,Emotet banking trojan - email dropper variant
a1d5895f85751dfe67d19ceca204629a0a1d7a69c0a95b936ea060041ea3a67c,hash_sha256,VirusTotal,critical,Cobalt Strike beacon - post-exploitation payload
e99a18c428cb38d5f260853678922e03abc775590a0095f998a4c18cebd1e4d2,hash_sha256,VirusTotal,critical,Ryuk ransomware variant
5baf3d6182501c5e5c3b6ba4b0e948b7aaab20e2f0ef9d0d5cc89d3d75a95e18,hash_sha256,VirusTotal,critical,TrickBot banking trojan
d55f983c994caa160ec63a59f6b4250fe67fb3e8c43a388aec60a4a6978e9f1e,hash_sha256,MISP,critical,Mimikatz credential dumping tool
4a468603fdcb7a2eb5770705898cf9ef37aade532a7964642ecd705a74794b79,hash_sha256,VirusTotal,critical,Agent Tesla infostealer
7c02dbae662670040c7af9bd15e3d0024c428b09a6b87e4d22f0d6be1b8e65bf,hash_sha256,MISP,high,QakBot banking trojan loader
3f5e5a160d0e0bf24e43f2c3a2ec89a3c8c1b1c2c84e9b0f2ab1a1a9f27e6d3a,hash_sha256,VirusTotal,critical,LockBit 3.0 ransomware
1be7eb5e8d5b5c5a9f12f7f61c8b8f7aeb8c1a2d3e4f5a6b7c8d9e0f1a2b3c4d,hash_sha256,MISP,high,AsyncRAT remote access trojan
c5d2f8e4a1b3c5d7e9f0a2b4c6d8e0f1a3b5c7d9e1f3a5b7c9d1e3f5a7b9c1d3,hash_sha256,VirusTotal,critical,BlackCat ALPHV ransomware
f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2,hash_sha256,MISP,high,Remcos RAT remote access tool
a9b8c7d6e5f4a3b2c1d0e9f8a7b6c5d4e3f2a1b0c9d8e7f6a5b4c3d2e1f0a9b8,hash_sha256,VirusTotal,critical,DarkSide ransomware
b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3,hash_sha256,MISP,high,Formbook infostealer
e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5,hash_sha256,VirusTotal,critical,Conti ransomware variant
